Step,GAN_A-202102240258 - accuracy
0,0.34375
1,0.5625
2,0.5
3,0.625
4,0.8125
5,0.59375
6,0.6875
7,0.5
8,0.5625
9,0.59375
10,0.75
11,0.78125
12,0.75
13,0.5625
14,0.53125
15,0.625
16,0.6875
17,0.625
18,0.625
19,0.6875
20,0.53125
21,0.6875
22,0.5625
23,0.59375
24,0.53125
25,0.5625
26,0.46875
27,0.40625
28,0.6875
29,0.6875
30,0.65625
31,0.65625
32,0.46875
33,0.75
34,0.71875
35,0.625
36,0.46875
37,0.65625
38,0.59375
39,0.5625
40,0.625
41,0.625
42,0.71875
43,0.5625
44,0.8125
45,0.5625
46,0.6875
47,0.75
48,0.59375
49,0.4375
50,0.40625
51,0.78125
52,0.53125
53,0.5
54,0.6875
55,0.8125
56,0.46875
57,0.65625
58,0.75
59,0.53125
60,0.53125
61,0.53125
62,0.59375
63,0.65625
64,0.5625
65,0.6875
66,0.53125
67,0.65625
68,0.71875
69,0.46875
70,0.59375
71,0.71875
72,0.65625
73,0.71875
74,0.75
75,0.625
76,0.5
77,0.53125
78,0.59375
79,0.65625
80,0.71875
81,0.71875
82,0.5625
83,0.5
84,0.59375
85,0.53125
86,0.5
87,0.375
88,0.53125
89,0.53125
90,0.5
91,0.6875
92,0.65625
93,0.5
94,0.5
95,0.6875
96,0.625
97,0.46875
98,0.53125
99,0.59375
100,0.78125
101,0.5625
102,0.71875
103,0.4375
104,0.5625
105,0.59375
106,0.6875
107,0.59375
108,0.4375
109,0.53125
110,0.625
111,0.5625
112,0.5
113,0.65625
114,0.46875
115,0.625
116,0.78125
117,0.75
118,0.5625
119,0.5
120,0.6875
121,0.59375
122,0.71875
123,0.75
124,0.46875
125,0.75
126,0.71875
127,0.59375
128,0.4375
129,0.5625
130,0.5625
131,0.8125
132,0.59375
133,0.6875
134,0.59375
135,0.625
136,0.59375
137,0.75
138,0.65625
139,0.5625
140,0.59375
141,0.65625
142,0.59375
143,0.71875
144,0.75
145,0.75
146,0.65625
147,0.5625
148,0.625
149,0.75
150,0.65625
151,0.59375
152,0.75
153,0.75
154,0.75
155,0.65625
156,0.78125
157,0.6875
158,0.71875
159,0.65625
160,0.625
161,0.59375
162,0.75
163,0.78125
164,0.65625
165,0.75
166,0.75
167,0.71875
168,0.5625
169,0.625
170,0.625
171,0.75
172,0.6875
173,0.65625
174,0.71875
175,0.5
176,0.5625
177,0.65625
178,0.6875
179,0.6875
180,0.625
181,0.59375
182,0.6875
183,0.75
184,0.59375
185,0.53125
186,0.59375
187,0.71875
188,0.78125
189,0.59375
190,0.6875
191,0.75
192,0.65625
193,0.71875
194,0.71875
195,0.625
196,0.6875
197,0.5625
198,0.78125
199,0.75
200,0.71875
201,0.625
202,0.5625
203,0.46875
204,0.5
205,0.625
206,0.6875
207,0.6875
208,0.65625
209,0.71875
210,0.65625
211,0.5
212,0.59375
213,0.5
214,0.34375
215,0.53125
216,0.5625
217,0.5625
218,0.65625
219,0.71875
220,0.65625
221,0.625
222,0.75
223,0.6875
224,0.5625
225,0.8125
226,0.5625
227,0.71875
228,0.71875
229,0.75
230,0.5625
231,0.65625
232,0.71875
233,0.625
234,0.625
235,0.8125
236,0.5625
237,0.78125
238,0.59375
239,0.625
240,0.625
241,0.59375
242,0.8125
243,0.8125
244,0.59375
245,0.71875
246,0.59375
247,0.53125
248,0.53125
249,0.40625
250,0.46875
251,0.59375
252,0.53125
253,0.625
254,0.5625
255,0.53125
256,0.65625
257,0.59375
258,0.59375
259,0.59375
260,0.59375
261,0.71875
262,0.75
263,0.4375
264,0.5625
265,0.71875
266,0.59375
267,0.59375
268,0.53125
269,0.6875
270,0.6875
271,0.5625
272,0.78125
273,0.65625
274,0.71875
275,0.65625
276,0.5625
277,0.78125
278,0.65625
279,0.46875
280,0.625
281,0.5625
282,0.71875
283,0.6875
284,0.53125
285,0.5625
286,0.75
287,0.75
288,0.53125
289,0.75
290,0.53125
291,0.46875
292,0.71875
293,0.625
294,0.4375
295,0.71875
296,0.59375
297,0.5625
298,0.625
299,0.75
300,0.78125
301,0.53125
302,0.65625
303,0.6875
304,0.53125
305,0.65625
306,0.5625
307,0.78125
308,0.75
309,0.53125
310,0.5625
311,0.71875
312,0.6875
313,0.625
314,0.84375
315,0.59375
316,0.5
317,0.65625
318,0.78125
319,0.53125
320,0.46875
321,0.5625
322,0.5625
323,0.6875
324,0.65625
325,0.75
326,0.625
327,0.71875
328,0.5625
329,0.71875
330,0.5625
331,0.5625
332,0.6875
333,0.78125
334,0.59375
335,0.53125
336,0.4375
337,0.625
338,0.40625
339,0.5
340,0.28125
341,0.46875
342,0.375
343,0.28125
344,0.40625
345,0.375
346,0.3125
347,0.34375
348,0.3125
349,0.25
350,0.3125
351,0.375
352,0.15625
353,0.600000024
354,0.375
355,0.21875
356,0.40625
357,0.3125
358,0.46875
359,0.59375
360,0.53125
361,0.5625
362,0.34375
363,0.5625
364,0.53125
365,0.59375
366,0.53125
367,0.5625
368,0.75
369,0.65625
370,0.65625
371,0.53125
372,0.46875
373,0.59375
374,0.53125
375,0.625
376,0.59375
377,0.625
378,0.46875
379,0.59375
380,0.5625
381,0.53125
382,0.3125
383,0.4375
384,0.46875
385,0.4375
386,0.375
387,0.4375
388,0.40625
389,0.40625
390,0.25
391,0.40625
392,0.3125
393,0.375
394,0.375
395,0.4375
396,0.34375
397,0.375
398,0.5625
399,0.21875
400,0.28125
401,0.34375
402,0.28125
403,0.53125
404,0.375
405,0.375
406,0.40625
407,0.3125
408,0.4375
409,0.34375
410,0.3125
411,0.21875
412,0.375
413,0.40625
414,0.3125
415,0.1875
416,0.59375
417,0.4375
418,0.21875
419,0.375
420,0.34375
421,0.40625
422,0.375
423,0.40625
424,0.53125
425,0.3125
426,0.1875
427,0.34375
428,0.375
429,0.34375
430,0.3125
431,0.3125
432,0.4375
433,0.34375
434,0.28125
435,0.25
436,0.28125
437,0.53125
438,0.4375
439,0.34375
440,0.3125
441,0.21875
442,0.40625
443,0.40625
444,0.46875
445,0.46875
446,0.40625
447,0.3125
448,0.46875
449,0.34375
450,0.09375
451,0.21875
452,0.4375
453,0.3125
454,0.3125
455,0.21875
456,0.40625
457,0.375
458,0.5
459,0.3125
460,0.3125
461,0.34375
462,0.34375
463,0.3125
464,0.375
465,0.34375
466,0.3125
467,0.34375
468,0.375
469,0.3125
470,0.375
471,0.4375
472,0.3125
473,0.28125
474,0.4375
475,0.34375
476,0.3125
477,0.375
478,0.3125
479,0.21875
480,0.21875
481,0.21875
482,0.25
483,0.28125
484,0.5625
485,0.46875
486,0.40625
487,0.21875
488,0.3125
489,0.21875
490,0.46875
491,0.375
492,0.375
493,0.3125
494,0.40625
495,0.25
496,0.3125
497,0.28125
498,0.25
499,0.25
500,0.46875
501,0.25
502,0.3125
503,0.40625
504,0.4375
505,0.34375
506,0.375
507,0.21875
508,0.28125
509,0.25
510,0.4375
511,0.28125
512,0.46875
513,0.28125
514,0.3125
515,0.3125
516,0.375
517,0.375
518,0.34375
519,0.34375
520,0.40625
521,0.28125
522,0.40625
523,0.375
524,0.21875
525,0.25
526,0.4375
527,0.15625
528,0.375
529,0.4375
530,0.21875
531,0.3125
532,0.34375
533,0.5
534,0.4375
535,0.4375
536,0.25
537,0.375
538,0.25
539,0.375
540,0.4375
541,0.40625
542,0.25
543,0.46875
544,0.3125
545,0.28125
546,0.28125
547,0.1875
548,0.375
549,0.4375
550,0.25
551,0.4375
552,0.1875
553,0.46875
554,0.25
555,0.34375
556,0.4375
557,0.3125
558,0.21875
559,0.25
560,0.40625
561,0.28125
562,0.34375
563,0.28125
564,0.34375
565,0.3125
566,0.375
567,0.40625
568,0.46875
569,0.28125
570,0.34375
571,0.21875
572,0.40625
573,0.28125
574,0.59375
575,0.4375
576,0.375
577,0.21875
578,0.34375
579,0.3125
580,0.40625
581,0.3125
582,0.1875
583,0.34375
584,0.125
585,0.4375
586,0.375
587,0.3125
588,0.5
589,0.40625
590,0.375
591,0.4375
592,0.375
593,0.375
594,0.375
595,0.28125
596,0.40625
597,0.46875
598,0.40625
599,0.5625
600,0.375
601,0.34375
602,0.25
603,0.28125
604,0.34375
605,0.40625
606,0.28125
607,0.4375
608,0.375
609,0.3125
610,0.40625
611,0.28125
612,0.40625
613,0.3125
614,0.28125
615,0.4375
616,0.40625
617,0.40625
618,0.3125
619,0.3125
620,0.3125
621,0.15625
622,0.40625
623,0.34375
624,0.28125
625,0.40625
626,0.3125
627,0.15625
628,0.34375
629,0.28125
630,0.28125
631,0.25
632,0.3125
633,0.34375
634,0.46875
635,0.40625
636,0.375
637,0.375
638,0.3125
639,0.25
640,0.34375
641,0.3125
642,0.28125
643,0.375
644,0.28125
645,0.34375
646,0.34375
647,0.375
648,0.40625
649,0.28125
650,0.28125
651,0.34375
652,0.375
653,0.28125
654,0.21875
655,0.1875
656,0.34375
657,0.375
658,0.28125
659,0.28125
660,0.34375
661,0.5
662,0.3125
663,0.375
664,0.3125
665,0.40625
666,0.46875
667,0.34375
668,0.53125
669,0.3125
670,0.375
671,0.375
672,0.3125
673,0.3125
674,0.4375
675,0.34375
676,0.28125
677,0.34375
678,0.28125
679,0.28125
680,0.25
681,0.375
682,0.46875
683,0.34375
684,0.25
685,0.4375
686,0.375
687,0.21875
688,0.1875
689,0.46875
690,0.46875
691,0.34375
692,0.25
693,0.1875
694,0.3125
695,0.34375
696,0.40625
697,0.3125
698,0.21875
699,0.34375
700,0.21875
701,0.25
702,0.46875
703,0.34375
704,0.46875
705,0.3125
706,0.34375
707,0.200000003
708,0.3125
709,0.25
710,0.34375
711,0.375
712,0.375
713,0.3125
714,0.28125
715,0.375
716,0.28125
717,0.3125
718,0.28125
719,0.34375
720,0.375
721,0.34375
722,0.375
723,0.375
724,0.3125
725,0.375
726,0.3125
727,0.40625
728,0.28125
729,0.40625
730,0.375
731,0.15625
732,0.34375
733,0.28125
734,0.28125
735,0.28125
736,0.3125
737,0.375
738,0.3125
739,0.34375
740,0.4375
741,0.3125
742,0.28125
743,0.375
744,0.21875
745,0.5
746,0.21875
747,0.21875
748,0.1875
749,0.34375
750,0.21875
751,0.4375
752,0.21875
753,0.3125
754,0.34375
755,0.375
756,0.28125
757,0.3125
758,0.3125
759,0.34375
760,0.375
761,0.34375
762,0.40625
763,0.28125
764,0.28125
765,0.28125
766,0.28125
767,0.46875
768,0.375
769,0.53125
770,0.28125
771,0.3125
772,0.46875
773,0.5
774,0.34375
775,0.34375
776,0.34375
777,0.3125
778,0.3125
779,0.4375
780,0.375
781,0.1875
782,0.40625
783,0.375
784,0.3125
785,0.34375
786,0.3125
787,0.40625
788,0.46875
789,0.375
790,0.25
791,0.53125
792,0.1875
793,0.28125
794,0.34375
795,0.3125
796,0.34375
797,0.375
798,0.40625
799,0.40625
800,0.3125
801,0.3125
802,0.34375
803,0.25
804,0.28125
805,0.3125
806,0.40625
807,0.34375
808,0.40625
809,0.34375
810,0.34375
811,0.53125
812,0.3125
813,0.375
814,0.28125
815,0.46875
816,0.34375
817,0.4375
818,0.25
819,0.4375
820,0.40625
821,0.25
822,0.40625
823,0.375
824,0.3125
825,0.3125
826,0.3125
827,0.34375
828,0.3125
829,0.3125
830,0.21875
831,0.40625
832,0.40625
833,0.40625
834,0.25
835,0.3125
836,0.4375
837,0.34375
838,0.3125
839,0.34375
840,0.25
841,0.125
842,0.34375
843,0.3125
844,0.34375
845,0.25
846,0.1875
847,0.46875
848,0.25
849,0.34375
850,0.40625
851,0.4375
852,0.25
853,0.3125
854,0.3125
855,0.40625
856,0.40625
857,0.40625
858,0.3125
859,0.25
860,0.46875
861,0.34375
862,0.375
863,0.4375
864,0.375
865,0.375
866,0.40625
867,0.5
868,0.40625
869,0.5
870,0.375
871,0.34375
872,0.21875
873,0.34375
874,0.21875
875,0.40625
876,0.3125
877,0.3125
878,0.375
879,0.46875
880,0.3125
881,0.59375
882,0.40625
883,0.1875
884,0.21875
885,0.34375
886,0.1875
887,0.4375
888,0.4375
889,0.375
890,0.4375
891,0.40625
892,0.21875
893,0.40625
894,0.25
895,0.28125
896,0.375
897,0.28125
898,0.25
899,0.3125
900,0.34375
901,0.34375
902,0.40625
903,0.25
904,0.34375
905,0.34375
906,0.3125
907,0.4375
908,0.3125
909,0.5
910,0.46875
911,0.40625
912,0.4375
913,0.28125
914,0.40625
915,0.4375
916,0.3125
917,0.375
918,0.28125
919,0.375
920,0.375
921,0.375
922,0.4375
923,0.34375
924,0.34375
925,0.625
926,0.375
927,0.34375
928,0.40625
929,0.25
930,0.34375
931,0.4375
932,0.28125
933,0.3125
934,0.34375
935,0.5
936,0.21875
937,0.28125
938,0.25
939,0.34375
940,0.3125
941,0.34375
942,0.3125
943,0.21875
944,0.5
945,0.5
946,0.40625
947,0.28125
948,0.3125
949,0.34375
950,0.4375
951,0.28125
952,0.5
953,0.34375
954,0.375
955,0.25
956,0.3125
957,0.34375
958,0.4375
959,0.28125
960,0.4375
961,0.15625
962,0.3125
963,0.34375
964,0.34375
965,0.4375
966,0.3125
967,0.46875
968,0.34375
969,0.375
970,0.25
971,0.28125
972,0.28125
973,0.40625
974,0.21875
975,0.25
976,0.5
977,0.3125
978,0.40625
979,0.34375
980,0.3125
981,0.4375
982,0.34375
983,0.3125
984,0.15625
985,0.375
986,0.3125
987,0.28125
988,0.28125
989,0.5
990,0.5
